	Sentence	Question
0	"The scientific name of dog is ""Canis familiaris""."	False
1	The arrows fell from the sky so densely, it was as if it were raining spears.	False
2	I'll do anything that Tom asks.	False
3	I deserve better.	False
4	The German domination didnâ€™t last very long.	False
5	This is a very interesting book.	False
6	Tom couldn't be saved.	False
7	I didn't want her to die.	False
8	Tom is slender, isn't he?	True
9	Tom is a terrible farmer.	False
10	My daughter is having dinner.	False
11	Did you speak with her?	True
12	I left my phone in the conference room.	False
13	Just bring me the ink, will you?	True
14	What do you want me to wear?	True
15	Tom is being sent to prison.	False
16	We're three hours behind schedule.	False
17	Tom wiped his spectacles.	False
18	It was a fun game to watch.	False
19	I need to speak with Tom right now.	False
20	I didn't have time to do anything else.	False
21	Do we have to help Tom?	True
22	Tom lost control of the car.	False
23	I want a doctor.	False
24	The captain of the ship decided to change course.	False
25	I wish I'd known sooner.	False
26	Tom had to wait till Mary got there.	False
27	I just need to know the truth.	False
28	My cat likes my keyboard.	False
29	I cannot do without this dictionary.	False
30	Why were you angry?	True
31	She didn't write me back.	False
32	Tom threw the ball back to Mary.	False
33	I've had enough of your shenanigans.	False
34	The names are in alphabetical order.	False
35	How many more classes do you have today?	True
36	Tom finally realized that Mary didn't really like him.	False
37	Tom noticed the front door was open.	False
38	Yes, but what happens after the fall?	True
39	Why would Tom want to go do something like that?	True
40	He took the car on trial, but didn't like it so he took it back.	False
41	Are you sure we can trust her?	True
42	I know Tom was the one who did it, but I won't ever be able to prove it.	False
43	Who am I supposed to help?	True
44	A cheetah runs as fast as any animal.	False
45	I was trying to protect Tom.	False
46	I'm under the tree.	False
47	Turtles are reptiles.	False
48	Tom is looking good.	False
49	Articles are always what?	True
50	It's a good thing I came here.	False
51	Have you set a date for your wedding?	True
52	He's a self-made man.	False
53	I bought a book for two hundred yen.	False
54	He left the house without even saying goodbye.	False
55	Is this gift Laura's?	True
56	I was almost right.	False
57	Japan's exports exceeded imports by $77.8 billion in 1998.	False
58	I couldn't get that lucky.	False
59	I've just finished doing my French homework.	False
60	Tom probably just wants to find out what time he's supposed to be here.	False
61	The dog lying on the grass is mine.	False
62	I think I have tendonitis.	False
63	I have nothing else worth saying.	False
64	What is your favorite consonant?	True
65	Tom is reading a novel.	False
66	They help us.	False
67	Tom hasn't been very kind to us.	False
68	I have to get her home.	False
69	You had better not associate with those men.	False
70	How did you know it was Tom who stole your money?	True
71	I was employee of the year for three years.	False
72	Why are you pouting?	True
73	I walked into a mirror.	False
74	The choice is very simple.	False
75	Did you answer Tom's question?	True
76	Tom got well soon.	False
77	I think you can help us.	False
78	Tom is the easy-going sort.	False
79	Please buy me this book.	False
80	He was at a loss which way to take.	False
81	Is there something else you can do for Tom?	True
82	Why don't you come inside and we can talk about it?	True
83	He would not raise my salary.	False
84	Tom has a Canadian wife.	False
85	Is Mr. Al-Abeed here?	True
86	Both Tom and Bill are playing tennis now.	False
87	Tom isn't in danger.	False
88	He asked me if he could ask me a question.	False
89	This is cold.	False
90	I can't find Tom. Has he gone already?	True
91	She is both rich and very beautiful.	False
92	Please don't ask that kind of question.	False
93	How was Tom able to lose so much weight so quickly?	True
94	She's better than us.	False
95	Were you always this strange?	True
96	That museum is worth visiting.	False
97	Tom never went out.	False
98	Why aren't you giving Tom the help he needs?	True
99	I remember hearing the story once.	False
100	I'm glad you're well.	False
101	It's not that I am unsympathetic, but I am not able to help you.	False
102	When a man cannot choose, he ceases to be a man.	False
103	We can't allow that.	False
104	Do you find Mary attractive?	True
105	I had dinner with Tom.	False
106	Tom can do it better than me.	False
107	I got rid of my jewels.	False
108	We haven't decided anything.	False
109	You don't have to hang around if you don't want to.	False
110	I knew that was going to happen.	False
