	Sentence	Question
0	Is there anything I need to be worried about?	True
1	We were soaked to the skin but very happy.	False
2	Tom thought that Mary didn't want to play chess with him.	False
3	To go against the church is to go against God.	False
4	I took a bath.	False
5	Mary wanted to marry a man with ambition.	False
6	I'm going to call him later.	False
7	In other words, be very careful.	False
8	I can explain it to you if you let me.	False
9	He seldom writes to his parents.	False
10	While living on his island, Brahe built a castle and an observatory.	False
11	What's the problem today?	True
12	Don't insult me.	False
13	The doctor told him to give up smoking and drinking.	False
14	Do you prefer white rice or brown rice?	True
15	People who do not have health plans should wait long to be attended.	False
16	I used it when I was in China last summer.	False
17	I plan to go abroad as soon as I graduate.	False
18	Tom climbed back into his car.	False
19	You are not in the least happy.	False
20	There were islands in the sea.	False
21	I would like to learn Latvian.	False
22	Such an economic program will help the rich at the expense of the poor.	False
23	He complained about the food.	False
24	Don't get too near.	False
25	How does Google make money?	True
26	It was not so simple to write a letter in English.	False
27	My father didn't eat much fruit.	False
28	What do you think if we buy mangos for lunch?	True
29	I didn't know Tom was from Australia.	False
30	Theosophy is a system of belief based on mystical insight into the nature of God and the soul.	False
31	I was a better alto but was selected as a mezzo-soprano.	False
32	The bird likes rice.	False
33	He contributed a lot of money to the charity.	False
34	Tom is doing it right now.	False
35	Who can help you to learn German?	True
36	It rained during the night.	False
37	You're bright.	False
38	See you tonight! See you soon!	False
39	I consider nothing human as alien to me.	False
40	What am I being charged with?	True
41	My opinion is completely different from yours.	False
42	If you want to borrow some of my clothes, ask first.	False
43	Tom helped Mary wash the dishes.	False
44	I wanted to get my mind off work.	False
45	The competition is getting tougher and tougher.	False
46	That is to say, their behavior seems to be against the rules made by adults.	False
47	You bought the ticket for the train?	True
48	How did Tom get Mary to do that?	True
49	To be overwise is to ossify; and the scruple-monger ends by standing stockstill.	False
50	You really should try this cake.	False
51	Tom covered for you while you were in the hospital.	False
52	You wouldn't leave me here, would you?	True
53	That's going to make Tom very happy.	False
54	Do you think I really want to be doing this?	True
55	I once remembered this one idea I had from a dream and it felt like it would solve all the world's problems.	False
56	Can I do something to help?	True
57	Tom snores.	False
58	Tom isn't foolish.	False
59	Does the president expect to even have a second term?	True
60	Thousands of soldiers and civilians were dying.	False
61	She got her tongue pierced.	False
